Date,Production
2012-01-01,17540
2012-02-01,20115
2012-03-01,10786
2012-04-01,42661
2012-05-01,213106
2012-06-01,249272
2012-07-01,334467
2012-08-01,356807
2012-09-01,333976
2012-10-01,297057
2012-11-01,155366
2012-12-01,71838
2013-01-01,4235
2013-02-01,1838
2013-03-01,13562
2013-04-01,145045
2013-05-01,317303
2013-06-01,363188
2013-07-01,432070
2013-08-01,441922
2013-09-01,397461
2013-10-01,342139
2013-11-01,254016
2013-12-01,96314
2014-01-01,5688
2014-02-01,3538
2014-03-01,13876
2014-04-01,129869
2014-05-01,337367
2014-06-01,384033
2014-07-01,363110
2014-08-01,424833
2014-09-01,392007
2014-10-01,352102
2014-11-01,198076
2014-12-01,71782
2015-01-01,28381
2015-02-01,21147
2015-03-01,20588
2015-04-01,176674
2015-05-01,320251
2015-06-01,416415
2015-07-01,485664
2015-08-01,509119
2015-09-01,444069
2015-10-01,429186
2015-11-01,239325
2015-12-01,112100
2016-01-01,7689
2016-02-01,6597
2016-03-01,32722
2016-04-01,243450
2016-05-01,362046
2016-06-01,353963
2016-07-01,434464
2016-08-01,413165
2016-09-01,400337
2016-10-01,276616
2016-11-01,137329
2016-12-01,31047
2017-01-01,1656
2017-02-01,1564
2017-03-01,20310
2017-04-01,193034
2017-05-01,276761
2017-06-01,356401
2017-07-01,398909
2017-08-01,420243
2017-09-01,435926
2017-10-01,367264
2017-11-01,203031
2017-12-01,30303
2018-01-01,0
2018-02-01,0
2018-03-01,39944
2018-04-01,282840
2018-05-01,394784
2018-06-01,459506
2018-07-01,519857
2018-08-01,509462
2018-09-01,465224
2018-10-01,365693
2018-11-01,151089
2018-12-01,69198
2019-01-01,546
2019-02-01,0
2019-03-01,23703
2019-04-01,239881
2019-05-01,424725
2019-06-01,494311
2019-07-01,574332
2019-08-01,568626
2019-09-01,538736
2019-10-01,455694
2019-11-01,229022
2019-12-01,29629
2020-01-01,0
2020-02-01,0
2020-03-01,36958
2020-04-01,240201
2020-05-01,351059
2020-06-01,420217
2020-07-01,486119
2020-08-01,505973
2020-09-01,495905
2020-10-01,378635
2020-11-01,149747
2020-12-01,13401
2021-01-01,0
2021-02-01,1
2021-03-01,15625
2021-04-01,225528
2021-05-01,390569
2021-06-01,412249
2021-07-01,489491
2021-08-01,502285
2021-09-01,439618
2021-10-01,261537
2021-11-01,95235
2021-12-01,7137
2022-01-01,3
2022-02-01,655
2022-03-01,6160
2022-04-01,170621
2022-05-01,389090
2022-06-01,436217
2022-07-01,494068
2022-08-01,504038
2022-09-01,415260
2022-10-01,289688
2022-11-01,162324
2022-12-01,26829
2023-01-01,664
2023-02-01,3046
2023-03-01,16516
2023-04-01,168753
2023-05-01,424134
2023-06-01,443560
2023-07-01,514156
2023-08-01,511449
2023-09-01,473214
2023-10-01,384225
2023-11-01,277032
2023-12-01,87691
2024-01-01,1325
2024-02-01,934
2024-03-01,13916
2024-04-01,224664
2024-05-01,429367
2024-06-01,489083
2024-07-01,531964
2024-08-01,527501
2024-09-01,521472
2024-10-01,368324
2024-11-01,210796
2024-12-01,105532
2025-01-01,5761
2025-02-01,8129
2025-03-01,35892
2025-04-01,153666
2025-05-01,343489
2025-06-01,377614
2025-07-01,436513
2025-08-01,446485
2025-09-01,429765
2025-10-01,342219
2025-11-01,150929
2025-12-01,8144
2026-01-01,7313
2026-02-01,7543
2026-03-01,17600
2026-04-01,307728
